record_id,gender,study_year,study_hours_per_week,uses_planner,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,program_satisfaction,external_activities,motivation_level,ai_interest,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,year_ordinal,inferred_year_from_grades,y1_avg_s1,y1_avg_s2,y1_avg,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,bac_specialty_Science,bac_specialty_Technical maths,preferred_study_place_In the dorms' library,preferred_study_place_In the school's library,preferred_study_place_In your room (dorms),preferred_study_time_In peer,preferred_study_time_With a group,feedback_influence_Positively,feedback_influence_You do not care about
1,0,2,1,0,1,4,2,6,0,3,5,7,3.0,1,4.0,5.0,3,2.0,7.0,8.0,6.0,4.0,2,1.0,11.0,8.0,9.0,3,3,2,3,3,3,3,2,3,3,2,3,4,4,4,3,4,2,4,4,2,False,True,False,False,False,False,False,False,True
2,1,2,2,1,5,4,2,7,1,5,0,3,1.0,1,2.0,2.0,2,1.0,5.0,5.0,3.0,9.0,2,1.0,10.0,10.0,10.0,4,4,2,2,3,4,4,2,5,5,4,3,4,4,4,3,4,2,4,4,2,False,False,False,True,False,False,False,False,True
3,1,2,1,1,1,4,2,6,0,7,5,0,3.0,1,3.0,4.0,2,4.0,6.0,4.0,5.0,7.0,2,1.0,10.0,11.0,10.0,4,4,2,2,3,4,4,2,5,5,4,3,4,4,4,3,4,2,4,4,2,False,True,False,False,True,False,False,False,False
4,0,2,1,0,5,2,4,1,5,0,5,3,3.0,1,5.0,5.0,3,3.0,8.0,8.0,8.0,7.0,2,2.0,11.0,9.0,10.0,3,4,3,4,4,3,4,2,2,3,4,4,4,4,4,3,4,2,4,4,2,False,False,False,True,False,False,True,True,False
5,0,2,1,0,1,2,6,4,5,3,7,0,3.0,1,5.0,4.0,2,3.0,7.0,6.0,6.0,2.0,2,1.0,11.0,9.0,10.0,3,4,3,4,4,3,3,3,2,2,3,4,4,4,4,3,4,2,4,4,2,True,False,False,True,False,False,False,False,False
6,1,3,1,1,3,2,1,6,5,0,3,7,3.0,0,4.0,5.0,3,3.0,7.0,7.0,5.0,3.0,3,2.0,11.0,10.0,10.0,3,3,3,4,4,3,4,3,2,3,2,4,4,4,4,3,4,2,4,4,2,False,False,False,True,False,False,False,True,False
7,1,2,2,0,6,4,1,1,6,0,3,5,2.0,0,4.0,5.0,2,5.0,6.0,3.0,2.0,5.0,2,1.0,12.0,8.0,10.0,3,3,3,4,4,4,3,3,2,3,2,4,4,4,4,3,4,2,4,4,2,True,False,False,False,True,False,False,False,True
8,0,2,1,0,0,4,3,5,7,6,2,1,2.0,1,2.0,2.0,2,1.0,6.0,3.0,5.0,2.0,2,1.0,12.0,9.0,10.0,3,3,4,4,4,4,2,3,2,1,3,3,4,4,4,3,4,2,4,4,2,False,True,False,False,True,False,False,False,False
9,1,2,1,0,3,2,1,3,6,0,7,5,2.0,0,2.0,2.0,3,4.0,8.0,5.0,5.0,6.0,2,1.0,12.0,9.0,10.0,5,3,3,3,4,4,3,4,2,2,3,4,4,4,4,3,4,2,4,4,2,False,True,False,False,True,False,False,False,False
10,1,2,4,1,2,6,1,1,0,3,7,5,3.0,0,4.0,5.0,1,3.0,8.0,7.0,8.0,8.0,2,1.0,13.0,8.0,10.0,5,3,3,3,4,4,2,4,3,2,3,4,4,4,4,3,3,2,3,4,3,True,False,False,True,False,False,False,False,True
11,1,2,5,0,5,4,2,1,0,3,5,3,2.0,0,5.0,4.0,2,2.0,7.0,4.0,4.0,6.0,2,1.0,13.0,9.0,10.0,5,3,3,3,4,4,3,4,2,2,3,4,5,4,4,3,3,3,3,4,1,False,False,False,True,False,True,False,False,True
12,0,2,1,0,6,4,1,6,2,5,3,5,2.0,1,3.0,4.0,2,5.0,8.0,6.0,6.0,6.0,2,2.0,13.0,9.0,10.0,3,2,2,4,4,3,3,4,3,4,3,4,5,4,4,3,3,3,3,4,1,False,False,False,True,False,True,False,False,True
13,1,2,1,0,3,2,6,5,0,1,6,3,3.0,0,4.0,4.0,2,3.0,8.0,5.0,6.0,6.0,2,1.0,10.0,12.0,11.0,3,4,3,3,4,3,4,4,1,2,2,4,5,4,4,3,3,3,3,4,1,True,False,False,False,True,True,False,False,False
14,0,2,5,0,5,7,4,1,2,3,0,5,1.0,1,5.0,1.0,2,1.0,4.0,8.0,7.0,9.0,2,1.0,11.0,10.0,11.0,3,4,3,3,4,4,4,4,3,2,2,4,4,3,4,4,3,3,4,3,2,False,False,True,False,False,False,False,False,True
15,0,3,1,1,2,6,4,2,2,2,2,2,2.0,1,2.0,5.0,3,5.0,10.0,8.0,8.0,3.0,3,1.0,11.0,12.0,11.0,3,4,3,3,4,4,4,4,3,2,2,4,4,3,4,4,3,3,4,3,2,False,False,False,False,True,False,False,False,True
16,1,2,3,1,0,2,6,5,4,1,7,3,3.0,1,4.0,5.0,3,3.0,8.0,8.0,8.0,6.0,2,1.0,12.0,10.0,11.0,3,4,2,4,4,4,3,4,2,2,2,4,4,3,4,4,3,3,4,3,2,True,False,False,False,True,False,False,True,False
17,0,2,1,0,4,6,1,4,2,0,7,3,3.0,1,1.0,4.0,3,5.0,8.0,3.0,3.0,7.0,2,1.0,12.0,10.0,11.0,4,3,2,3,4,3,3,3,2,2,4,3,4,3,4,4,3,3,4,3,2,True,False,False,False,True,False,True,False,True
18,0,3,1,0,4,2,6,1,4,7,0,3,3.0,1,5.0,4.0,3,3.0,6.0,8.0,8.0,7.0,3,2.0,12.0,10.0,11.0,4,3,3,3,2,3,4,3,3,4,3,2,4,3,4,4,3,3,4,3,2,False,False,False,True,False,False,False,False,True
19,1,2,2,1,2,1,6,1,0,7,3,5,2.0,1,3.0,3.0,2,4.0,6.0,5.0,3.0,3.0,2,1.0,12.0,10.0,11.0,4,3,3,3,2,5,3,3,3,4,3,2,4,4,4,3,3,3,4,4,2,False,False,False,False,True,False,False,False,True
20,1,2,2,0,2,4,8,6,0,1,5,1,3.0,1,4.0,4.0,2,3.0,8.0,7.0,8.0,6.0,2,1.0,12.0,10.0,11.0,3,3,3,4,5,5,3,3,3,2,4,4,4,4,4,3,3,3,4,4,2,False,False,False,False,False,False,False,False,True
21,0,2,1,0,5,2,1,1,5,7,0,3,2.0,1,3.0,5.0,2,2.0,7.0,5.0,5.0,3.0,2,1.0,12.0,11.0,11.0,3,3,3,4,5,4,4,3,3,2,4,4,4,4,5,3,3,3,4,4,3,False,False,False,False,False,False,False,False,True
22,0,2,1,0,5,2,4,1,1,7,5,3,2.0,1,2.0,4.0,3,1.0,5.0,6.0,5.0,7.0,2,1.0,12.0,11.0,11.0,3,3,3,4,5,4,4,3,3,2,4,4,3,4,4,4,2,4,4,3,2,False,False,False,False,True,False,False,False,True
23,1,2,4,1,2,6,4,1,0,7,3,5,2.0,0,5.0,5.0,2,4.0,8.0,5.0,6.0,7.0,2,1.0,12.0,11.0,11.0,3,3,3,4,5,4,3,3,3,2,4,4,4,4,4,3,4,3,4,4,2,False,False,False,True,False,False,False,False,True
24,1,2,3,1,3,2,5,1,6,0,7,3,2.0,1,5.0,3.0,2,2.0,10.0,6.0,4.0,5.0,2,1.0,12.0,11.0,11.0,3,3,3,3,5,4,3,3,3,2,3,5,4,4,4,3,4,3,4,4,2,False,False,False,False,True,False,False,False,True
25,1,2,2,1,3,2,0,1,6,7,3,5,3.0,0,4.0,4.0,2,3.0,7.0,6.0,6.0,8.0,2,1.0,12.0,11.0,11.0,3,3,3,3,5,4,3,3,3,2,3,5,4,4,4,3,3,2,4,4,4,True,False,False,False,True,False,False,False,True
26,1,2,4,0,4,2,4,1,1,0,7,3,2.0,0,3.0,5.0,2,3.0,9.0,6.0,6.0,9.0,2,1.0,12.0,11.0,11.0,3,3,3,3,5,4,3,3,3,2,3,5,4,4,4,3,3,3,3,5,3,True,False,False,False,True,False,False,False,True
27,1,2,1,0,2,4,6,1,0,7,5,3,3.0,1,3.0,4.0,3,3.0,6.0,5.0,5.0,5.0,2,1.0,12.0,11.0,11.0,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,3,3,3,3,5,3,False,False,False,True,False,True,False,False,True
28,1,2,2,1,3,2,1,7,7,0,3,5,2.0,1,3.0,5.0,2,1.0,7.0,5.0,6.0,7.0,2,2.0,12.0,11.0,11.0,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,3,3,3,3,5,3,True,False,False,True,False,False,False,False,True
29,0,3,2,0,2,4,1,5,7,6,0,3,3.0,1,4.0,3.0,2,2.0,6.0,6.0,6.0,7.0,3,2.0,12.0,11.0,11.0,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,3,3,3,3,5,3,False,False,False,False,True,False,True,False,True
30,0,3,1,0,4,1,4,2,6,7,0,3,2.0,0,4.0,3.0,2,3.0,5.0,4.0,4.0,5.0,3,2.0,13.0,9.0,11.0,3,3,3,3,3,4,3,3,2,3,3,3,4,4,4,3,3,3,3,5,3,True,False,False,False,True,False,False,False,True
31,1,2,2,1,3,2,6,1,0,1,5,3,3.0,1,3.0,5.0,3,3.0,7.0,6.0,6.0,6.0,2,1.0,13.0,9.0,11.0,3,3,3,3,3,4,2,3,3,3,3,3,4,4,4,3,4,2,3,4,3,True,False,False,True,False,False,False,False,True
32,1,2,1,1,2,4,1,1,3,0,2,2,3.0,0,3.0,5.0,3,3.0,7.0,6.0,6.0,5.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,4,3,2,3,3,3,4,4,4,3,3,3,4,4,2,False,False,False,False,False,False,False,False,True
33,1,2,2,1,0,2,4,1,1,7,3,5,3.0,1,4.0,3.0,2,2.0,8.0,7.0,8.0,6.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,4,3,2,3,3,3,4,4,4,3,4,3,3,4,3,True,False,False,False,True,False,False,False,True
34,1,2,1,1,4,4,2,1,1,6,3,7,2.0,1,5.0,4.0,2,1.0,7.0,5.0,3.0,4.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,2,3,3,3,5,4,4,3,4,3,3,5,3,False,False,False,False,False,False,False,False,True
35,1,2,5,0,5,2,4,1,1,5,3,7,1.0,0,1.0,5.0,1,1.0,10.0,6.0,7.0,8.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,2,3,3,3,4,4,4,3,4,3,4,4,3,True,False,False,False,True,False,False,False,True
36,1,2,5,1,1,4,2,1,0,5,7,3,2.0,0,4.0,4.0,2,3.0,7.0,5.0,4.0,4.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,5,2,True,False,False,True,False,False,False,False,True
37,1,2,3,0,3,6,2,1,5,1,7,3,2.0,1,4.0,2.0,2,4.0,8.0,5.0,5.0,8.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,False,False,False,True,False,False,False,False,True
38,1,2,2,1,5,2,1,1,4,0,7,5,3.0,0,5.0,5.0,2,5.0,9.0,6.0,6.0,8.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,3,3,3,3,5,4,4,3,4,3,3,5,3,True,False,False,False,True,False,False,False,True
39,1,2,1,0,3,2,6,1,5,0,7,3,2.0,0,3.0,5.0,3,2.0,8.0,6.0,6.0,5.0,2,1.0,13.0,10.0,11.0,3,3,3,3,3,4,3,3,3,3,3,3,5,4,4,3,4,3,3,4,3,True,False,False,False,False,False,False,False,True
40,1,2,3,1,2,6,4,1,5,0,7,3,2.0,0,2.0,3.0,2,3.0,6.0,6.0,6.0,4.0,2,1.0,12.0,11.0,12.0,3,3,3,3,3,4,4,3,2,3,3,3,4,4,4,3,4,4,4,5,3,True,False,False,False,False,False,False,False,True
41,0,2,2,0,2,1,4,6,0,3,7,5,2.0,1,3.0,3.0,2,3.0,8.0,6.0,4.0,4.0,2,1.0,12.0,11.0,12.0,3,3,3,3,5,4,4,4,3,2,3,5,4,4,4,3,4,4,4,5,3,False,False,False,True,False,False,False,False,False
42,1,2,1,1,2,0,4,1,6,5,3,7,2.0,0,2.0,5.0,2,1.0,7.0,5.0,6.0,8.0,2,1.0,12.0,11.0,12.0,3,3,3,3,5,3,4,4,3,2,3,5,4,4,4,3,4,3,4,4,3,False,False,False,False,True,False,False,False,True
43,1,2,1,0,1,4,6,2,0,5,3,7,3.0,0,5.0,5.0,2,4.0,6.0,6.0,7.0,7.0,2,1.0,12.0,12.0,12.0,4,4,3,3,4,4,3,4,3,3,3,3,4,4,4,3,4,3,4,4,3,False,False,False,True,False,True,False,True,False
44,0,2,3,0,5,2,8,5,0,1,7,3,2.0,0,5.0,5.0,2,2.0,7.0,7.0,8.0,5.0,2,1.0,12.0,12.0,12.0,3,3,4,4,4,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,3,False,True,False,False,True,False,False,True,False
45,1,4,1,1,3,1,6,3,2,5,7,0,2.0,1,2.0,3.0,2,1.0,7.0,2.0,5.0,2.0,4,3.0,12.0,12.0,12.0,3,3,2,3,4,3,2,2,3,3,3,4,4,4,4,3,4,3,4,4,3,False,True,False,False,True,False,False,False,True
46,1,2,2,0,3,1,2,5,6,7,0,3,2.0,1,1.0,1.0,3,1.0,9.0,5.0,6.0,7.0,2,1.0,12.0,12.0,12.0,3,2,4,5,3,1,4,5,5,4,4,3,4,4,4,3,4,3,4,4,3,True,False,False,False,True,False,False,False,True
47,1,2,2,1,4,4,1,2,6,0,7,3,3.0,0,4.0,5.0,2,1.0,7.0,6.0,6.0,6.0,2,1.0,12.0,13.0,12.0,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,3,True,False,False,True,False,False,False,False,True
48,0,3,1,0,3,7,2,1,6,5,0,3,2.0,1,3.0,3.0,2,3.0,6.0,7.0,7.0,8.0,3,2.0,12.0,13.0,12.0,3,4,3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,3,4,4,3,False,False,False,True,False,False,False,False,True
49,1,2,2,0,6,1,0,1,6,3,4,5,3.0,1,5.0,5.0,1,2.0,3.0,5.0,5.0,5.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,4,4,4,2,3,3,4,4,4,4,3,4,3,4,4,3,False,False,False,False,True,False,False,False,True
50,1,2,2,1,3,2,6,1,0,5,7,3,2.0,0,3.0,3.0,2,2.0,9.0,6.0,7.0,7.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,True,False,False,False,True,False,False,False,True
51,1,2,2,1,0,3,2,1,6,1,7,5,2.0,0,2.0,5.0,2,3.0,7.0,3.0,2.0,8.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,4,3,4,3,3,3,4,4,4,5,3,4,3,4,5,4,False,False,False,False,True,False,False,False,True
52,1,2,5,0,3,6,1,1,7,3,5,5,2.0,1,5.0,5.0,2,3.0,5.0,5.0,4.0,6.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,True,False,False,True,False,False,False,False,True
53,0,2,1,0,2,5,4,1,0,6,7,3,2.0,1,2.0,4.0,2,2.0,8.0,6.0,7.0,7.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,4,3,4,3,3,3,4,5,4,4,3,4,4,4,5,3,False,False,False,True,False,False,False,False,True
54,0,2,2,0,1,5,4,1,0,2,3,7,2.0,0,4.0,5.0,2,2.0,9.0,4.0,5.0,7.0,2,1.0,13.0,11.0,12.0,3,4,3,3,3,3,3,4,4,3,3,4,5,4,4,3,4,3,3,3,3,False,False,False,True,False,False,False,False,True
55,1,2,3,0,2,4,1,5,0,3,6,7,3.0,0,2.0,3.0,3,2.0,7.0,5.0,3.0,4.0,2,1.0,13.0,11.0,12.0,3,3,2,4,4,3,3,3,2,2,3,4,5,4,4,3,4,3,3,3,3,True,False,False,True,False,False,False,False,False
56,1,2,2,1,3,3,6,2,5,5,1,7,2.0,0,1.0,1.0,3,3.0,8.0,7.0,9.0,8.0,2,1.0,13.0,11.0,12.0,4,3,3,3,4,3,4,3,3,2,3,4,5,4,4,3,4,3,3,3,3,True,False,False,False,True,False,False,True,False
57,0,2,3,1,2,1,0,3,4,5,6,7,3.0,0,5.0,5.0,2,3.0,8.0,7.0,6.0,5.0,2,1.0,13.0,11.0,12.0,4,3,3,3,4,3,4,3,3,2,3,4,5,4,4,3,4,3,3,3,3,False,False,False,False,True,False,False,True,False
58,0,3,1,0,5,2,1,4,7,1,5,3,2.0,0,3.0,5.0,2,3.0,6.0,7.0,7.0,6.0,3,2.0,13.0,12.0,12.0,3,4,3,3,4,4,4,3,3,4,3,4,5,4,4,3,4,3,3,3,3,True,False,False,False,True,False,False,True,False
59,0,2,5,0,3,6,2,1,0,5,3,7,2.0,0,3.0,4.0,3,3.0,7.0,7.0,8.0,5.0,2,1.0,13.0,12.0,12.0,3,4,3,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,5,3,False,False,False,False,False,True,False,False,True
60,1,2,3,1,3,2,1,6,0,5,7,3,4.0,1,5.0,4.0,3,5.0,8.0,7.0,8.0,8.0,2,1.0,13.0,12.0,12.0,4,3,5,4,5,5,3,5,3,2,3,5,4,4,4,4,4,3,4,5,3,False,False,False,True,False,False,False,True,False
61,1,2,1,0,1,6,0,1,2,7,5,3,2.0,1,5.0,4.0,2,1.0,8.0,3.0,3.0,6.0,2,1.0,14.0,10.0,12.0,4,3,5,4,5,4,4,5,3,2,3,5,4,4,4,4,4,3,4,5,2,False,False,False,False,True,True,False,False,True
62,1,2,4,1,2,4,0,1,6,5,3,7,2.0,1,5.0,5.0,2,1.0,8.0,5.0,5.0,8.0,2,1.0,14.0,10.0,12.0,4,3,5,4,5,4,3,5,3,2,3,5,5,4,4,4,4,3,4,4,3,True,False,False,False,True,False,False,False,True
63,1,2,2,1,5,4,2,4,0,5,3,7,2.0,1,3.0,5.0,2,4.0,8.0,6.0,7.0,8.0,2,2.0,14.0,10.0,12.0,4,3,5,4,5,4,3,5,3,2,3,5,5,4,4,4,4,3,4,4,3,True,False,False,False,True,True,False,False,False
