record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y2_avg_s1,y2_avg_s2,y2_avg,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
4,1,1,0,0,1,2,46,29,0,6,2,4,1,5,0,5,3,2,3.0,1,5.0,5.0,1,1,3.0,8.0,8.0,8.0,7.0,1,3,2,2.0,0,9.0,10.0,1,2,1,1,1,0,2,1,1,1,1,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
6,0,2,0,0,1,0,16,27,1,4,2,1,6,5,0,3,7,1,3.0,0,4.0,5.0,1,1,3.0,7.0,7.0,5.0,3.0,0,3,3,2.0,1,9.0,10.0,1,2,1,1,1,0,2,1,1,1,1,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
12,1,1,0,0,1,1,17,29,0,7,4,1,6,2,5,3,5,0,2.0,1,3.0,4.0,2,0,5.0,8.0,6.0,6.0,6.0,1,3,2,2.0,8,9.0,10.0,1,2,1,1,1,0,2,1,1,1,1,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
18,1,2,0,0,1,0,0,14,0,5,2,6,1,4,7,0,3,5,3.0,1,5.0,4.0,2,1,3.0,6.0,8.0,8.0,7.0,0,3,3,2.0,2,10.0,11.0,0,0,0,0,3,3,0,0,0,2,0,1,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
28,0,1,1,1,1,0,45,20,1,4,2,1,7,7,0,3,5,2,2.0,1,3.0,5.0,2,0,1.0,7.0,5.0,6.0,7.0,1,3,2,2.0,7,9.0,9.0,0,0,0,0,3,3,0,0,0,2,0,1,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
29,1,2,0,1,2,2,35,29,0,2,4,1,5,7,6,0,3,1,3.0,1,4.0,3.0,2,0,2.0,6.0,6.0,6.0,7.0,0,3,3,2.0,1,11.0,11.0,0,0,0,0,3,3,0,0,0,2,0,1,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
30,1,2,1,0,2,0,32,20,0,5,1,4,2,6,7,0,3,1,2.0,0,4.0,3.0,2,0,3.0,5.0,4.0,4.0,5.0,0,3,3,2.0,1,12.0,12.0,1,2,0,1,1,2,0,1,2,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
45,0,0,2,0,2,0,34,13,1,4,1,6,3,2,5,7,0,10,2.0,1,2.0,3.0,2,0,1.0,7.0,2.0,5.0,2.0,8,2,4,3.0,1,9.0,10.0,1,0,2,0,2,4,3,1,1,4,2,3,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
48,1,2,0,0,1,0,34,28,0,4,7,2,1,6,5,0,3,1,2.0,1,3.0,3.0,2,0,3.0,6.0,7.0,7.0,8.0,0,3,3,2.0,1,9.0,10.0,1,2,1,1,1,1,2,0,2,2,2,1,2,1,0,0,1,1,1,2,1,1,2,2,1,2,0
58,1,2,1,0,2,0,39,29,0,6,2,1,4,7,1,5,3,1,2.0,0,3.0,5.0,1,0,3.0,6.0,7.0,7.0,6.0,0,3,3,2.0,2,10.0,11.0,0,2,1,1,2,3,2,1,2,2,2,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
