record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y3_avg_s1,y3_avg_s2,y3_avg,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security
45,0,0,1,0,2,0,5,5,1,3,1,4,3,2,3,6,0,2,2.0,1,2.0,3.0,1,0,1.0,7.0,2.0,5.0,2.0,1,0,4,3.0,10.0,13.0,12.0,1,1,1,1,2,1,1,0,2,1,0,1
78,1,0,1,0,2,0,10,6,1,4,2,3,5,4,0,0,2,1,1.0,0,2.0,3.0,1,1,2.0,7.0,5.0,5.0,5.0,1,0,4,3.0,9.0,11.0,10.0,1,1,1,1,2,1,1,0,2,1,0,1
80,1,0,1,0,0,1,9,1,0,3,5,1,3,0,3,6,1,1,2.0,0,3.0,4.0,1,0,3.0,7.0,7.0,7.0,6.0,1,0,4,3.0,13.0,13.0,13.0,0,0,1,0,1,0,0,0,0,0,1,0
84,0,0,0,0,2,0,2,8,1,2,0,1,4,3,3,5,5,1,2.0,1,4.0,4.0,1,0,4.0,9.0,7.0,9.0,8.0,1,0,4,3.0,11.0,10.0,10.0,0,0,1,0,1,0,0,0,0,0,1,0
86,0,0,0,0,2,1,0,7,1,5,2,1,0,3,3,3,3,1,2.0,0,3.0,4.0,1,0,2.0,9.0,7.0,7.0,6.0,1,0,4,3.0,10.0,11.0,10.0,0,0,1,0,1,0,0,0,0,0,1,0
103,0,1,0,0,0,0,4,8,0,1,0,4,4,4,5,1,4,0,2.0,1,2.0,2.0,1,1,4.0,7.0,7.0,7.0,9.0,0,1,3,3.0,10.0,11.0,10.0,0,0,1,0,1,0,0,0,0,0,1,0
122,0,0,0,1,2,0,8,3,1,0,4,1,2,3,4,4,5,1,4.0,1,2.0,5.0,0,0,3.0,8.0,9.0,9.0,9.0,1,0,4,3.0,12.0,12.0,12.0,0,0,1,0,1,0,0,0,0,0,1,0
137,0,0,1,2,2,0,6,1,1,5,2,0,4,1,3,2,5,1,2.0,0,3.0,4.0,1,0,3.0,7.0,6.0,7.0,9.0,1,0,4,3.0,13.0,13.0,13.0,0,0,1,0,1,0,0,0,0,0,1,0
138,1,0,0,1,2,0,1,0,0,4,5,2,1,4,2,2,5,1,3.0,1,3.0,4.0,1,0,2.0,9.0,8.0,7.0,7.0,1,0,4,3.0,13.0,12.0,13.0,0,0,1,0,1,0,0,0,0,0,1,0
175,0,0,0,0,2,0,9,5,1,4,0,5,2,1,1,5,5,3,3.0,1,4.0,5.0,0,1,3.0,9.0,8.0,8.0,8.0,1,0,4,3.0,12.0,14.0,13.0,2,0,1,0,0,0,0,0,2,2,0,1
177,1,0,1,1,1,0,7,2,0,2,4,4,0,1,3,6,2,1,4.0,1,5.0,5.0,0,1,4.0,9.0,9.0,7.0,6.0,1,0,4,3.0,13.0,14.0,14.0,2,0,1,0,0,0,0,0,2,2,0,1
210,0,0,0,2,2,0,3,4,0,5,3,2,0,4,1,6,4,1,2.0,0,2.0,3.0,1,0,3.0,7.0,7.0,7.0,6.0,1,0,4,3.0,13.0,14.0,14.0,2,1,0,1,1,1,0,0,1,3,1,0
