record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y3_avg_s1,y3_avg_s2,y3_avg,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,Yes,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,10.0,13.0,12.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,No,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,9.0,11.0,10.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,Yes,4.0,4.0,You do not care about,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,11.0,10.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Pressure,Pressure,Teaching language,Lack of time,Private life problems,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,2.0,2.0,You do not care about,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",4.0,Yes,2.0,5.0,Positively,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,Unknown,4,3.0,12.0,12.0,12.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
137,Female,Fourth year,Technical maths,More than 41,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,Yes,Teachers' teaching method,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,No,Private life problems,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",3.0,Yes,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,Unknown,4,3.0,13.0,12.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate
175,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Bad quality of internet,ما,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,you mentioned all,3.0,Yes,4.0,5.0,Positively,8 hours or more,3.0,9.0,8.0,8.0,8.0,Unknown,Unknown,4,3.0,12.0,14.0,13.0,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Very High,Moderate,High,Very High
177,Male,Fourth year,Technical maths,18-25,In the school's library,Alone,Lectures;Learning by practicing;Project-based learning,Books;Online documents;Private courses,No,Lack of time,Pressure,Teachers' teaching method,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",4.0,Yes,5.0,5.0,Positively,8 hours or more,4.0,9.0,9.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,14.0,14.0,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Very High,Moderate,High,Very High
210,Female,Fourth year,Mathematics,More than 41,In your room (dorms),Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents,No,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,2.0,3.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,14.0,14.0,Moderate,Very Low,Low,Low,Moderate,Low,High,Moderate,Low,Very High,Moderate,Moderate
