record_id,gender,study_year,bac_specialty,study_hours_week,study_location,study_style,learning_methods,resources_used,use_planner,obstacle_1st,obstacle_2nd,obstacle_3rd,obstacle_4th,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,others_feedback,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,gender_encoded,study_year_encoded,bac_specialty_encoded,study_hours_week_encoded,study_location_encoded,study_style_encoded,learning_methods_encoded,resources_used_encoded,use_planner_encoded,obstacle_1st_encoded,obstacle_2nd_encoded,obstacle_3rd_encoded,obstacle_4th_encoded,5 fifth_encoded,6 sixth_encoded,7 seventh_encoded,8 eighth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,others_feedback_encoded,how many hours do you sleep_encoded,4 forth_encoded,how do others feedbacks influence you_encoded,1y foundational mathematics_encoded,1y dsa1_encoded,1y digital systems_encoded,1y information technology essentials_encoded,1y english 1_encoded,1y cpsct_encoded,1y oop_encoded,1y introduction to linux_encoded,1y linear algebra_encoded,1y mathematical analysis 1_encoded,1y introduction to statistics_encoded,1y english 2_encoded,1y intensive english_encoded,1y seminar_encoded,1y analysis i_encoded,1y algebra_encoded,1y a com i_encoded,1y intro prog c_encoded,1y analysis ii_encoded,1y a com ii_encoded,1y proba stat_encoded,record_id_log,rate your satisfaction with the school s program_log,your level of motivation for joining ensia_log,how much do you like the field of artificial intelligence_log,how well do you handle stress and pressure_log,in a scale of 1 to 10 how do you rate your level in the following fields 1 english_log,2 programming_log,3 computer science_log,4 mathematics_log,year_ordinal_log,inferred_year_from_grades_log,1y average s1_log,1y average s2_log,1y average_log,gender_encoded_log,study_year_encoded_log,bac_specialty_encoded_log,study_hours_week_encoded_log,study_location_encoded_log,study_style_encoded_log,learning_methods_encoded_log,resources_used_encoded_log,use_planner_encoded_log,obstacle_1st_encoded_log,obstacle_2nd_encoded_log,obstacle_3rd_encoded_log,obstacle_4th_encoded_log,5 fifth_encoded_log,6 sixth_encoded_log,7 seventh_encoded_log,8 eighth_encoded_log,other problems that you face_encoded_log,do you engage in any external activities not related to the study field_encoded_log,others_feedback_encoded_log,how many hours do you sleep_encoded_log,4 forth_encoded_log,how do others feedbacks influence you_encoded_log,1y foundational mathematics_encoded_log,1y dsa1_encoded_log,1y digital systems_encoded_log,1y information technology essentials_encoded_log,1y english 1_encoded_log,1y cpsct_encoded_log,1y oop_encoded_log,1y introduction to linux_encoded_log,1y linear algebra_encoded_log,1y mathematical analysis 1_encoded_log,1y introduction to statistics_encoded_log,1y english 2_encoded_log,1y intensive english_encoded_log,1y seminar_encoded_log,1y analysis i_encoded_log,1y algebra_encoded_log,1y a com i_encoded_log,1y intro prog c_encoded_log,1y analysis ii_encoded_log,1y a com ii_encoded_log,1y proba stat_encoded_log
1,Male,Second year,Technical maths,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teaching language,Lack of motivation,3.0,Yes,4.0,5.0,You do not care about,8 hours or more,2.0,7.0,8.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,11.0,8.0,9.0,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate,High,High,High,Moderate,High,Low,High,High,Low,1,2,2,0,0,0,22,16,0,1,4,2,6,0,3,5,7,8,1,2,2,1,3,2,2,1,2,2,2,2,1,2,2,1,2,0,0,0,1,0,1,0,0,1,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.791759469228055,1.0986122886681098,2.0794415416798357,2.1972245773362196,1.9459101490553132,1.6094379124341003,1.0986122886681098,0.6931471805599453,2.4849066497880004,2.1972245773362196,2.302585092994046,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,3.1354942159291497,2.833213344056216,0.0,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.9459101490553132,0.0,1.3862943611198906,1.791759469228055,2.0794415416798357,2.1972245773362196,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
2,Female,Second year,Mathematics,18-25,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Teachers' teaching method,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,1.0,Yes,2.0,2.0,You do not care about,5-7 hours,1.0,5.0,5.0,3.0,9.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,10.0,10.0,10.0,High,High,Low,Low,Moderate,High,High,Low,Very High,Very High,High,Moderate,High,High,High,Moderate,High,Low,High,High,Low,0,2,0,1,2,0,54,36,1,5,4,2,7,1,5,0,3,8,1,2,1,1,3,0,0,1,1,2,0,0,1,3,3,0,2,0,0,0,1,0,1,0,0,1,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.791759469228055,1.791759469228055,1.3862943611198906,2.302585092994046,1.0986122886681098,0.6931471805599453,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,0.0,4.007333185232471,3.6109179126442243,0.6931471805599453,1.791759469228055,1.6094379124341003,1.0986122886681098,2.0794415416798357,0.6931471805599453,1.791759469228055,0.0,1.3862943611198906,2.1972245773362196,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
3,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Bad quality of internet,Lack of motivation,3.0,Yes,3.0,4.0,Negatively,5-7 hours,4.0,6.0,4.0,5.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,10.0,11.0,10.0,High,High,Low,Low,Moderate,High,High,Low,Very High,Very High,High,Moderate,High,High,High,Moderate,High,Low,High,High,Low,0,2,2,0,3,0,14,31,1,1,4,2,6,0,7,5,0,8,1,0,1,1,3,0,0,1,1,2,0,0,1,3,3,0,2,0,0,0,1,0,1,0,0,1,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.9459101490553132,1.6094379124341003,1.791759469228055,2.0794415416798357,1.0986122886681098,0.6931471805599453,2.3978952727983707,2.4849066497880004,2.3978952727983707,0.0,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,0.0,2.70805020110221,3.4657359027997265,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.9459101490553132,0.0,2.0794415416798357,1.791759469228055,0.0,2.1972245773362196,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
4,Male,Second year,Mathematics,10-17,In the school's library,With a group,Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,5.0,5.0,Positively,8 hours or more,3.0,8.0,8.0,8.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,11.0,9.0,10.0,Moderate,High,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,High,High,High,High,Moderate,High,Low,High,High,Low,1,2,0,0,2,2,54,34,0,5,2,4,1,5,0,5,3,8,1,1,2,1,3,2,0,2,0,0,2,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1.6094379124341003,1.3862943611198906,1.791759469228055,1.791759469228055,1.3862943611198906,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.0794415416798357,1.0986122886681098,1.0986122886681098,2.4849066497880004,2.302585092994046,2.3978952727983707,0.6931471805599453,1.0986122886681098,0.0,0.0,1.0986122886681098,1.0986122886681098,4.007333185232471,3.5553480614894135,0.0,1.791759469228055,1.0986122886681098,1.6094379124341003,0.6931471805599453,1.791759469228055,0.0,1.791759469228055,1.3862943611198906,2.1972245773362196,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
5,Male,Second year,Science,10-17,In the school's library,Alone,Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Pressure,Private life problems,Not having a good (powerful) computer,Teaching language,Bad quality of internet,Lack of motivation,3.0,Yes,5.0,4.0,Negatively,5-7 hours,3.0,7.0,6.0,6.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,11.0,9.0,10.0,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,High,High,Moderate,High,Low,High,High,Low,1,2,1,0,2,0,54,34,0,1,2,6,4,5,3,7,0,8,1,0,1,1,3,2,0,2,0,0,2,2,2,1,1,2,0,0,0,0,1,0,1,0,0,1,1.791759469228055,1.3862943611198906,1.791759469228055,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.9459101490553132,1.9459101490553132,1.0986122886681098,1.0986122886681098,0.6931471805599453,2.4849066497880004,2.302585092994046,2.3978952727983707,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,1.0986122886681098,0.0,4.007333185232471,3.5553480614894135,0.0,0.6931471805599453,1.0986122886681098,1.9459101490553132,1.6094379124341003,1.791759469228055,1.3862943611198906,2.0794415416798357,0.0,2.1972245773362196,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
6,Female,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,No,4.0,5.0,Positively,8 hours or more,3.0,7.0,7.0,5.0,3.0,Bad quality of internet,You do not care about,3,2.0,11.0,10.0,10.0,Moderate,Moderate,Moderate,High,High,Moderate,High,Moderate,Low,Moderate,Low,High,High,High,High,Moderate,High,Low,High,High,Low,0,3,0,0,2,0,22,31,1,3,2,1,6,5,0,3,7,4,0,1,2,0,3,2,2,2,0,0,2,0,2,1,2,1,0,0,0,0,1,0,1,0,0,1,1.9459101490553132,1.3862943611198906,1.6094379124341003,1.791759469228055,1.3862943611198906,2.0794415416798357,2.0794415416798357,1.791759469228055,1.3862943611198906,1.3862943611198906,1.0986122886681098,2.4849066497880004,2.3978952727983707,2.3978952727983707,0.0,1.3862943611198906,0.0,0.0,1.0986122886681098,0.0,3.1354942159291497,3.4657359027997265,0.6931471805599453,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.791759469228055,0.0,1.3862943611198906,2.0794415416798357,1.6094379124341003,0.0,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
7,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,4.0,5.0,You do not care about,5-7 hours,5.0,6.0,3.0,2.0,5.0,Lack of time,Negatively,2,1.0,12.0,8.0,10.0,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Low,Moderate,Low,High,High,High,High,Moderate,High,Low,High,High,Low,0,2,1,1,3,0,25,6,0,6,4,1,1,6,0,3,5,8,0,2,1,2,0,2,2,2,0,0,0,2,2,1,2,1,0,0,0,0,1,0,1,0,0,1,2.0794415416798357,1.0986122886681098,1.6094379124341003,1.791759469228055,1.791759469228055,1.9459101490553132,1.3862943611198906,1.0986122886681098,1.791759469228055,1.0986122886681098,0.6931471805599453,2.5649493574615367,2.1972245773362196,2.3978952727983707,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,3.258096538021482,1.9459101490553132,0.0,1.9459101490553132,1.6094379124341003,0.6931471805599453,0.6931471805599453,1.9459101490553132,0.0,1.3862943611198906,1.791759469228055,2.1972245773362196,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
8,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,Teaching language,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of motivation,2.0,Yes,2.0,2.0,Negatively,5-7 hours,1.0,6.0,3.0,5.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,9.0,10.0,Moderate,Moderate,High,High,High,High,Low,Moderate,Low,Very Low,Moderate,Moderate,High,High,High,Moderate,High,Low,High,High,Low,1,2,2,0,3,0,54,36,0,0,4,3,5,7,6,2,1,8,1,0,1,1,3,2,2,0,0,0,0,1,2,1,4,2,2,0,0,0,1,0,1,0,0,1,2.1972245773362196,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.6931471805599453,2.5649493574615367,2.302585092994046,2.3978952727983707,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,0.0,4.007333185232471,3.6109179126442243,0.0,0.0,1.6094379124341003,1.3862943611198906,1.791759469228055,2.0794415416798357,1.9459101490553132,1.0986122886681098,0.6931471805599453,2.1972245773362196,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
9,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Lectures,YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Lack of motivation,2.0,No,2.0,2.0,Negatively,8 hours or more,4.0,8.0,5.0,5.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,9.0,10.0,Very High,Moderate,Moderate,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,High,High,High,Moderate,High,Low,High,High,Low,0,2,2,0,3,0,23,36,0,3,2,1,3,6,0,7,5,8,0,0,2,1,3,3,2,2,2,0,0,2,0,1,1,2,0,0,0,0,1,0,1,0,0,1,2.302585092994046,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341003,2.1972245773362196,1.791759469228055,1.791759469228055,1.9459101490553132,1.0986122886681098,0.6931471805599453,2.5649493574615367,2.302585092994046,2.3978952727983707,0.0,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,0.0,3.1780538303479458,3.6109179126442243,0.0,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.9459101490553132,0.0,2.0794415416798357,1.791759469228055,2.1972245773362196,0.0,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
10,Female,Second year,Science,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,Lack of motivation,3.0,No,4.0,5.0,You do not care about,4 hours or less,3.0,8.0,7.0,8.0,8.0,Pressure,You do not care about,2,1.0,13.0,8.0,10.0,Very High,Moderate,Moderate,Moderate,High,High,Low,High,Moderate,Low,Moderate,High,High,High,High,Moderate,Moderate,Low,Moderate,High,Moderate,0,2,1,3,2,0,6,26,1,2,6,1,1,0,3,7,5,8,0,2,0,4,3,3,2,2,2,0,0,1,0,2,1,2,0,0,0,0,1,2,1,1,0,2,2.3978952727983707,1.3862943611198906,1.6094379124341003,1.791759469228055,1.3862943611198906,2.1972245773362196,2.0794415416798357,2.1972245773362196,2.1972245773362196,1.0986122886681098,0.6931471805599453,2.6390573296152584,2.1972245773362196,2.3978952727983707,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.0986122886681098,0.0,1.9459101490553132,3.295836866004329,0.6931471805599453,1.0986122886681098,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,2.0794415416798357,1.791759469228055,2.1972245773362196,0.0,1.0986122886681098,0.0,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098
