record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
1,Male,Second year,Technical maths,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;YouTube videos,No,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teaching language,3.0,4.0,5.0,8 hours or more,2.0,7.0,8.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,11.0,8.0,9.0,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate,High,High,High,Moderate,High,Low,High,High,Low,1,4,2,6,8,1,2
2,Female,Second year,Mathematics,18-25,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,1.0,2.0,2.0,5-7 hours,1.0,5.0,5.0,3.0,9.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,10.0,10.0,10.0,High,High,Low,Low,Moderate,High,High,Low,Very High,Very High,High,Moderate,High,High,High,Moderate,High,Low,High,High,Low,5,4,2,7,8,1,2
3,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Teaching language,Private life problems,Bad quality of internet,3.0,3.0,4.0,5-7 hours,4.0,6.0,4.0,5.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,10.0,11.0,10.0,High,High,Low,Low,Moderate,High,High,Low,Very High,Very High,High,Moderate,High,High,High,Moderate,High,Low,High,High,Low,1,4,2,6,8,1,0
4,Male,Second year,Mathematics,10-17,In the school's library,With a group,Online courses and tutorials,Online tutorials;YouTube videos,No,Private life problems,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3.0,5.0,5.0,8 hours or more,3.0,8.0,8.0,8.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,11.0,9.0,10.0,Moderate,High,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,High,High,High,High,Moderate,High,Low,High,High,Low,5,2,4,1,8,1,1
5,Male,Second year,Science,10-17,In the school's library,Alone,Online courses and tutorials,Online tutorials;YouTube videos,No,Private life problems,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,5.0,4.0,5-7 hours,3.0,7.0,6.0,6.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,11.0,9.0,10.0,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,High,High,Moderate,High,Low,High,High,Low,1,2,6,4,8,1,0
6,Female,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3.0,4.0,5.0,8 hours or more,3.0,7.0,7.0,5.0,3.0,Bad quality of internet,You do not care about,3,2.0,11.0,10.0,10.0,Moderate,Moderate,Moderate,High,High,Moderate,High,Moderate,Low,Moderate,Low,High,High,High,High,Moderate,High,Low,High,High,Low,3,2,1,6,4,0,1
7,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2.0,4.0,5.0,5-7 hours,5.0,6.0,3.0,2.0,5.0,Lack of time,Negatively,2,1.0,12.0,8.0,10.0,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Low,Moderate,Low,High,High,High,High,Moderate,High,Low,High,High,Low,6,4,1,1,8,0,2
8,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Teaching language,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,2.0,2.0,2.0,5-7 hours,1.0,6.0,3.0,5.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,9.0,10.0,Moderate,Moderate,High,High,High,High,Low,Moderate,Low,Very Low,Moderate,Moderate,High,High,High,Moderate,High,Low,High,High,Low,0,4,3,5,8,1,0
9,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Lectures,YouTube videos,No,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,2.0,2.0,2.0,8 hours or more,4.0,8.0,5.0,5.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,12.0,9.0,10.0,Very High,Moderate,Moderate,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,High,High,High,Moderate,High,Low,High,High,Low,3,2,1,3,8,0,0
10,Female,Second year,Science,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,3.0,4.0,5.0,4 hours or less,3.0,8.0,7.0,8.0,8.0,Pressure,You do not care about,2,1.0,13.0,8.0,10.0,Very High,Moderate,Moderate,Moderate,High,High,Low,High,Moderate,Low,Moderate,High,High,High,High,Moderate,Moderate,Low,Moderate,High,Moderate,2,6,1,1,8,0,2
