record_id,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,gender_encoded,study_year_encoded,bac_specialty_encoded,how many hours per week do you spend studying personnal efforts_encoded,study_place_encoded,study_style_encoded,learning_methods_encoded,what types of resources do you use most_encoded,use_schedule_encoded,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,5 fifth_encoded,6 sixth_encoded,7 seventh_encoded,8 eighth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded,sleep_hours_encoded,4 forth_encoded,how do others feedbacks influence you_encoded,1y foundational mathematics_encoded,1y dsa1_encoded,1y digital systems_encoded,1y information technology essentials_encoded,1y english 1_encoded,1y cpsct_encoded,1y oop_encoded,1y introduction to linux_encoded,1y linear algebra_encoded,1y mathematical analysis 1_encoded,1y introduction to statistics_encoded,1y english 2_encoded,1y intensive english_encoded,1y seminar_encoded,1y analysis i_encoded,1y algebra_encoded,1y a com i_encoded,1y intro prog c_encoded,1y analysis ii_encoded,1y a com ii_encoded,1y proba stat_encoded
1,3.0,4.0,5.0,2.0,7.0,8.0,6.0,4.0,2,1.0,11.0,8.0,9.0,1,2,2,0,0,0,22,16,0,1,4,2,6,0,3,5,7,8,1,2,2,1,3,2,2,1,2,2,2,2,1,2,2,1,2,0,0,0,1,0,1,0,0,1
2,1.0,2.0,2.0,1.0,5.0,5.0,3.0,9.0,2,1.0,10.0,10.0,10.0,0,2,0,1,2,0,54,36,1,5,4,2,7,1,5,0,3,8,1,2,1,1,3,0,0,1,1,2,0,0,1,3,3,0,2,0,0,0,1,0,1,0,0,1
3,3.0,3.0,4.0,4.0,6.0,4.0,5.0,7.0,2,1.0,10.0,11.0,10.0,0,2,2,0,3,0,14,31,1,1,4,2,6,0,7,5,0,8,1,0,1,1,3,0,0,1,1,2,0,0,1,3,3,0,2,0,0,0,1,0,1,0,0,1
4,3.0,5.0,5.0,3.0,8.0,8.0,8.0,7.0,2,2.0,11.0,9.0,10.0,1,2,0,0,2,2,54,34,0,5,2,4,1,5,0,5,3,8,1,1,2,1,3,2,0,2,0,0,2,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1
5,3.0,5.0,4.0,3.0,7.0,6.0,6.0,2.0,2,1.0,11.0,9.0,10.0,1,2,1,0,2,0,54,34,0,1,2,6,4,5,3,7,0,8,1,0,1,1,3,2,0,2,0,0,2,2,2,1,1,2,0,0,0,0,1,0,1,0,0,1
6,3.0,4.0,5.0,3.0,7.0,7.0,5.0,3.0,3,2.0,11.0,10.0,10.0,0,3,0,0,2,0,22,31,1,3,2,1,6,5,0,3,7,4,0,1,2,0,3,2,2,2,0,0,2,0,2,1,2,1,0,0,0,0,1,0,1,0,0,1
7,2.0,4.0,5.0,5.0,6.0,3.0,2.0,5.0,2,1.0,12.0,8.0,10.0,0,2,1,1,3,0,25,6,0,6,4,1,1,6,0,3,5,8,0,2,1,2,0,2,2,2,0,0,0,2,2,1,2,1,0,0,0,0,1,0,1,0,0,1
8,2.0,2.0,2.0,1.0,6.0,3.0,5.0,2.0,2,1.0,12.0,9.0,10.0,1,2,2,0,3,0,54,36,0,0,4,3,5,7,6,2,1,8,1,0,1,1,3,2,2,0,0,0,0,1,2,1,4,2,2,0,0,0,1,0,1,0,0,1
9,2.0,2.0,2.0,4.0,8.0,5.0,5.0,6.0,2,1.0,12.0,9.0,10.0,0,2,2,0,3,0,23,36,0,3,2,1,3,6,0,7,5,8,0,0,2,1,3,3,2,2,2,0,0,2,0,1,1,2,0,0,0,0,1,0,1,0,0,1
10,3.0,4.0,5.0,3.0,8.0,7.0,8.0,8.0,2,1.0,13.0,8.0,10.0,0,2,1,3,2,0,6,26,1,2,6,1,1,0,3,7,5,8,0,2,0,4,3,3,2,2,2,0,0,1,0,2,1,2,0,0,0,0,1,2,1,1,0,2
11,2.0,5.0,4.0,2.0,7.0,4.0,4.0,6.0,2,1.0,13.0,9.0,10.0,0,2,0,5,2,1,5,26,0,5,4,2,1,0,3,5,3,8,0,2,1,1,3,3,2,2,2,0,0,2,0,1,1,2,0,2,0,0,1,2,2,1,0,4
12,2.0,3.0,4.0,5.0,8.0,6.0,6.0,6.0,2,2.0,13.0,9.0,10.0,1,2,0,0,2,1,23,34,0,6,4,1,6,2,5,3,5,0,1,2,1,1,3,2,1,1,0,0,2,2,0,2,0,2,0,2,0,0,1,2,2,1,0,4
