record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,2y average s1,2y average s2,2y average,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
4,Male,Second year,Mathematics,10-17,In the school's library,With a group,Online courses and tutorials,Online tutorials;YouTube videos,No,Private life problems,Bad quality of internet,Private life problems,Not having a good (powerful) computer,3.0,5.0,5.0,8 hours or more,3.0,8.0,8.0,8.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,10.0,9.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,2,4,1,2,1,1
6,Female,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3.0,4.0,5.0,8 hours or more,3.0,7.0,7.0,5.0,3.0,Bad quality of internet,You do not care about,3,2.0,11.0,9.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,1,6,1,0,1
12,Male,Second year,Mathematics,10-17,In the school's library,In peer,Lectures,Online tutorials;YouTube videos,No,Lack of time,Private life problems,Not having a good (powerful) computer,Private life problems,2.0,3.0,4.0,5-7 hours,5.0,8.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,9.0,9.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,7,4,1,6,0,1,2
18,Male,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Books;YouTube videos,No,Pressure,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3.0,5.0,4.0,8 hours or more,3.0,6.0,8.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,12.0,10.0,11.0,High,High,High,High,Very Low,Very High,High,High,High,Moderate,High,Low,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,2,6,1,5,1,2
28,Female,Second year,Science,18-25,In the school's library,Alone,Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2.0,3.0,5.0,5-7 hours,1.0,7.0,5.0,6.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,8.0,9.0,9.0,High,High,High,High,Very Low,Very High,High,High,High,Moderate,High,Low,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,2,1,7,2,1,2
29,Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;YouTube videos,No,Teaching language,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,3.0,4.0,3.0,5-7 hours,2.0,6.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,11.0,11.0,11.0,High,High,High,High,Very Low,Very High,High,High,High,Moderate,High,Low,High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,1,5,1,1,2
30,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,Online documents;YouTube videos,No,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2.0,4.0,3.0,5-7 hours,3.0,5.0,4.0,4.0,5.0,Bad quality of internet,You do not care about,3,2.0,11.0,12.0,12.0,Moderate,Moderate,High,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,1,4,2,1,0,2
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Private life problems,Teaching language,Bad quality of internet,2.0,2.0,3.0,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,11.0,9.0,10.0,Moderate,High,Very High,High,Moderate,Very Low,Very High,Moderate,Low,Very Low,Moderate,Very Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,1,6,3,10,1,2
48,Male,Third year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;Online documents;YouTube videos;Chat GPT,No,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,3.0,6.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,3,2.0,11.0,9.0,10.0,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Moderate,Low,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,7,2,1,1,1,2
58,Male,Third year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,2.0,3.0,5.0,5-7 hours,3.0,6.0,7.0,7.0,6.0,Bad quality of internet,You do not care about,3,2.0,12.0,10.0,11.0,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,2,1,4,1,0,1
63,Female,Second year,Science,18-25,In your room (dorms),In peer,Lectures;Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,5.0,5-7 hours,4.0,8.0,6.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,9.0,10.0,9.0,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,4,2,4,2,1,0
72,Male,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books,No,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,3.0,4.0,5.0,8 hours or more,4.0,6.0,7.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,2.0,11.0,10.0,9.0,High,Moderate,Moderate,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,1,6,2,1,2
73,Male,Third year,Mathematics,10-17,In your room (dorms),In peer,Lectures;Project-based learning,Online documents;YouTube videos,No,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,4.0,4.0,8 hours or more,4.0,7.0,6.0,7.0,5.0,Bad quality of internet,You do not care about,3,2.0,12.0,11.0,12.0,High,Moderate,Moderate,Moderate,Low,Very High,High,Moderate,High,Moderate,High,Moderate,Low,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,6,4,1,2,1,1,0
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,1.0,2.0,3.0,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,12.0,8.0,10.0,High,Moderate,Moderate,Moderate,Low,Very High,High,Moderate,High,Moderate,High,Moderate,Low,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,5,2,4,6,8,0,2
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Bad quality of internet,Private life problems,Teaching language,Lack of time,2.0,3.0,4.0,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,12.0,14.0,13.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,4,6,1,3,8,0,2
83,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,Books;Online documents,Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,3.0,3.0,8 hours or more,2.0,7.0,6.0,6.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,12.0,12.0,Moderate,Moderate,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High,2,4,5,6,1,0,0
