record_id,gender,study_year,bac_specialty,study_hours_week,study_location,study_style,learning_methods,resources_used,use_planner,obstacle_1st,obstacle_2nd,obstacle_3rd,obstacle_4th,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,others_feedback,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,3y average s1,3y average s2,3y average,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,gender_encoded,study_year_encoded,bac_specialty_encoded,study_hours_week_encoded,study_location_encoded,study_style_encoded,learning_methods_encoded,resources_used_encoded,use_planner_encoded,obstacle_1st_encoded,obstacle_2nd_encoded,obstacle_3rd_encoded,obstacle_4th_encoded,5 fifth_encoded,6 sixth_encoded,7 seventh_encoded,8 eighth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,others_feedback_encoded,how many hours do you sleep_encoded,4 forth_encoded,how do others feedbacks influence you_encoded,3y data mining_encoded,3y operations research_encoded,3y stochastic_encoded,3y software engineering_encoded,3y networks and protocols_encoded,3y mobile development_encoded,3y entrepreneurship and innovation_encoded,3y machine learning_encoded,3y numerical methods and optimisation_encoded,3y time series_encoded,3y advanced databases_encoded,3y computer and network security_encoded,record_id_log,rate your satisfaction with the school s program_log,your level of motivation for joining ensia_log,how much do you like the field of artificial intelligence_log,how well do you handle stress and pressure_log,in a scale of 1 to 10 how do you rate your level in the following fields 1 english_log,2 programming_log,3 computer science_log,4 mathematics_log,year_ordinal_log,inferred_year_from_grades_log,3y average s1_log,3y average s2_log,3y average_log,gender_encoded_log,study_year_encoded_log,bac_specialty_encoded_log,study_hours_week_encoded_log,study_location_encoded_log,study_style_encoded_log,learning_methods_encoded_log,resources_used_encoded_log,use_planner_encoded_log,obstacle_1st_encoded_log,obstacle_2nd_encoded_log,obstacle_3rd_encoded_log,obstacle_4th_encoded_log,5 fifth_encoded_log,6 sixth_encoded_log,7 seventh_encoded_log,8 eighth_encoded_log,other problems that you face_encoded_log,do you engage in any external activities not related to the study field_encoded_log,others_feedback_encoded_log,how many hours do you sleep_encoded_log,4 forth_encoded_log,how do others feedbacks influence you_encoded_log,3y data mining_encoded_log,3y operations research_encoded_log,3y stochastic_encoded_log,3y software engineering_encoded_log,3y networks and protocols_encoded_log,3y mobile development_encoded_log,3y entrepreneurship and innovation_encoded_log,3y machine learning_encoded_log,3y numerical methods and optimisation_encoded_log,3y time series_encoded_log,3y advanced databases_encoded_log,3y computer and network security_encoded_log
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,Yes,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,10.0,13.0,12.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High,0,0,1,0,2,0,5,5,1,3,1,4,3,2,3,6,0,2,1,1,0,1,0,1,1,1,1,2,1,1,0,2,1,0,1,3.828641396489095,1.0986122886681098,1.0986122886681098,1.3862943611198906,0.6931471805599453,2.0794415416798357,1.0986122886681098,1.791759469228055,1.0986122886681098,1.6094379124341003,1.3862943611198906,2.3978952727983707,2.6390573296152584,2.5649493574615367,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,1.791759469228055,1.791759469228055,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.6094379124341003,1.3862943611198906,1.0986122886681098,1.3862943611198906,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,No,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,9.0,11.0,10.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High,1,0,1,0,2,0,10,6,1,4,2,3,5,4,0,0,2,1,0,1,1,1,0,1,1,1,1,2,1,1,0,2,1,0,1,4.3694478524670215,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.0986122886681098,2.0794415416798357,1.791759469228055,1.791759469228055,1.791759469228055,1.6094379124341003,1.3862943611198906,2.302585092994046,2.4849066497880004,2.3978952727983707,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,2.3978952727983707,1.9459101490553132,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.3862943611198906,1.791759469228055,1.6094379124341003,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,1,0,1,0,0,1,9,1,0,3,5,1,3,0,3,6,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.394449154672439,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.3862943611198906,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.9459101490553132,1.6094379124341003,1.3862943611198906,2.6390573296152584,2.6390573296152584,2.6390573296152584,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,2.302585092994046,0.6931471805599453,0.0,1.3862943611198906,1.791759469228055,0.6931471805599453,1.3862943611198906,0.0,1.3862943611198906,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,Yes,4.0,4.0,You do not care about,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,11.0,10.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,0,0,0,2,0,2,8,1,2,0,1,4,3,3,5,5,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.442651256490317,1.0986122886681098,1.6094379124341003,1.6094379124341003,1.6094379124341003,2.302585092994046,2.0794415416798357,2.302585092994046,2.1972245773362196,1.6094379124341003,1.3862943611198906,2.4849066497880004,2.3978952727983707,2.3978952727983707,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,2.1972245773362196,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.791759469228055,1.791759469228055,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,0,0,0,2,1,0,7,1,5,2,1,0,3,3,3,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.465908118654584,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.0986122886681098,2.302585092994046,2.0794415416798357,2.0794415416798357,1.9459101490553132,1.6094379124341003,1.3862943611198906,2.3978952727983707,2.4849066497880004,2.3978952727983707,0.0,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,2.0794415416798357,0.6931471805599453,1.791759469228055,1.0986122886681098,0.6931471805599453,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Pressure,Pressure,Teaching language,Lack of time,Private life problems,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,Yes,2.0,2.0,You do not care about,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,1,0,0,0,0,4,8,0,1,0,4,4,4,5,1,4,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,4.6443908991413725,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341003,2.0794415416798357,2.0794415416798357,2.0794415416798357,2.302585092994046,1.3862943611198906,1.3862943611198906,2.3978952727983707,2.4849066497880004,2.3978952727983707,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.6094379124341003,2.1972245773362196,0.0,0.6931471805599453,0.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.791759469228055,0.6931471805599453,1.6094379124341003,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",4.0,Yes,2.0,5.0,Positively,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,Unknown,4,3.0,12.0,12.0,12.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,0,0,1,2,0,8,3,1,0,4,1,2,3,4,4,5,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.812184355372417,1.6094379124341003,1.0986122886681098,1.791759469228055,1.3862943611198906,2.1972245773362196,2.302585092994046,2.302585092994046,2.302585092994046,1.6094379124341003,1.3862943611198906,2.5649493574615367,2.5649493574615367,2.5649493574615367,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,2.1972245773362196,1.3862943611198906,0.6931471805599453,0.0,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.791759469228055,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
137,Female,Fourth year,Technical maths,More than 41,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,Yes,Teachers' teaching method,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,No,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,0,1,2,2,0,6,1,1,5,2,0,4,1,3,2,5,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.927253685157205,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.9459101490553132,2.0794415416798357,2.302585092994046,1.6094379124341003,1.3862943611198906,2.6390573296152584,2.6390573296152584,2.6390573296152584,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,1.791759469228055,1.0986122886681098,0.0,1.6094379124341003,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.791759469228055,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,No,Private life problems,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",3.0,Yes,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,Unknown,4,3.0,13.0,12.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,1,0,0,1,2,0,1,0,0,4,5,2,1,4,2,2,5,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4.9344739331306915,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.0986122886681098,2.302585092994046,2.1972245773362196,2.0794415416798357,2.0794415416798357,1.6094379124341003,1.3862943611198906,2.6390573296152584,2.5649493574615367,2.6390573296152584,0.6931471805599453,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,1.6094379124341003,1.791759469228055,1.0986122886681098,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.791759469228055,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
175,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Bad quality of internet,ما,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,you mentioned all,3.0,Yes,4.0,5.0,Positively,8 hours or more,3.0,9.0,8.0,8.0,8.0,Unknown,Unknown,4,3.0,12.0,14.0,13.0,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Very High,Moderate,High,Very High,0,0,0,0,2,0,9,5,1,4,0,5,2,1,1,5,5,3,1,0,1,1,0,2,0,1,0,0,0,0,0,2,2,0,1,5.170483995038151,1.3862943611198906,1.6094379124341003,1.791759469228055,1.3862943611198906,2.302585092994046,2.1972245773362196,2.1972245773362196,2.1972245773362196,1.6094379124341003,1.3862943611198906,2.5649493574615367,2.70805020110221,2.6390573296152584,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,2.302585092994046,1.791759469228055,0.6931471805599453,1.6094379124341003,0.0,1.791759469228055,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.791759469228055,1.791759469228055,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453
