record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,3y average s1,3y average s2,3y average,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of time,Private life problems,Teaching language,Bad quality of internet,2.0,2.0,3.0,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,Unknown,4,3.0,10.0,13.0,12.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High,3,1,4,3,2,1,1
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,Yes,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,1.0,2.0,3.0,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,Unknown,4,3.0,9.0,11.0,10.0,Low,Very Low,Moderate,Low,Very Low,Low,Very High,Moderate,Very High,Low,High,Very High,4,2,3,5,1,0,1
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,No,Bad quality of internet,Private life problems,Teaching language,Lack of time,2.0,3.0,4.0,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,3,5,1,3,1,0,1
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,2.0,4.0,4.0,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,Unknown,4,3.0,11.0,10.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,2,0,1,4,1,1,1
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,2.0,3.0,4.0,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,Unknown,4,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,5,2,1,0,1,0,1
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Pressure,Teaching language,Lack of time,Private life problems,2.0,2.0,2.0,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,3.0,10.0,11.0,10.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,1,0,4,4,0,1,1
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,4.0,2.0,5.0,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,Unknown,4,3.0,12.0,12.0,12.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,0,4,1,2,1,1,0
137,Female,Fourth year,Technical maths,More than 41,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,Yes,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,Unknown,4,3.0,13.0,13.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,5,2,0,4,1,0,1
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,No,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,3.0,3.0,4.0,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,Unknown,4,3.0,13.0,12.0,13.0,High,Moderate,Moderate,High,Moderate,High,High,Moderate,High,High,Moderate,Moderate,4,5,2,1,1,1,1
175,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,3.0,4.0,5.0,8 hours or more,3.0,9.0,8.0,8.0,8.0,Unknown,Unknown,4,3.0,12.0,14.0,13.0,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Very High,Moderate,High,Very High,4,0,5,2,3,1,0
