Timestamp,What is your gender : ,In which year of your studies are you currently enrolled:,What was your BAC specialty :,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study: ,What learning methods do help you understand better: ,What types of resources do you use most:_x,Do you use a planer or a schedule in your revisions :_x,"For the next 8 questions you will have a list of problems (obstacles) classify them according to how much they influence your studies:
1. First :_x",2. Second :,3. Third :,4. Fourth :,5. Fifth :,6. Sixth :,7. Seventh :,8. Eighth :,Other problems that you face:,Rate your satisfaction  with the school's program: ,Do you engage in any external activities (not related to the study field): ,Your level of motivation for joining ENSIA:,How much do you like the field of Artificial Intelligence :_x,How do other's feedback influence you:,How many hours do you sleep :,How well do you handle stress and pressure : ,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:_x",2. Programming:_x,3. Computer science: ,4. Mathematics:,1Y_Average S1_x,1Y_Average S2_x,1Y_Average_x,2Y_Average S1_x,2Y_Average S2_x,2Y_Average_x,3Y_Average S1,3Y_Average S2,3Y_Average,1Y_Foundational Mathematics,1Y_DSA1,1Y_Digital Systems,1Y_Information Technology Essentials,1Y_English 1,1Y_CPSCT_x,1Y_OOP_x,1Y_Introduction to Linux,1Y_Linear Algebra_x,1Y_Mathematical Analysis 1,1Y_Introduction to Statistics,1Y_English 2,2Y_DSA 2,2Y_Logic_x,2Y_Mathematical Analysis 2,2Y_Databases,2Y_Probability,2Y_Web Development,2Y_Introduction to Business,2Y_Theory of Computing,2Y_Operating Systems,2Y_Computer Architecture,2Y_Statistical Inference,2Y_Introduction to AI,2Y_Mathematical Analysis 3,2Y_Electronic Circuits Labs,3Y_Data Mining,3Y_Operations Research,3Y_Stochastic,3Y_Software Engineering,3Y_Networks and Protocols,3Y_Mobile Development,3Y_Entrepreneurship and Innovation,3Y_Machine Learning,3Y_Numerical Methods and Optimisation,3Y_Time Series,3Y_Advanced Databases,3Y_Computer and network Security,1Y_Foundational Mathematics.1,1Y_DSA1.1,1Y_Digital Systems.1,1Y_Information Technology Essentials.1,1Y_English 1.1,1Y_CPSCT.1,1Y_OOP.1,1Y_Introduction to Linux.1,1Y_Linear Algebra.1,1Y_Mathematical Analysis 1.1,1Y_Introduction to Statistics.1,1Y_English 2.1,2Y_DSA 2.1,2Y_Logic.1,2Y_Mathematical Analysis 2.1,2Y_Databases.1,2Y_Probability.1,2Y_Web Development.1,2Y_Introduction to Business.1,2Y_Theory of Computing.1,2Y_Operating Systems.1,2Y_Computer Architecture.1,2Y_Statistical Inference.1,2Y_Introduction to AI.1,2Y_Mathematical Analysis 3.1,2Y_Electronic Circuits Labs.1,1Y_Foundational Mathematics.2,1Y_DSA1.2,1Y_Digital Systems.2,1Y_Information Technology Essentials.2,1Y_English 1.2,1Y_CPSCT.2,1Y_OOP.2,1Y_Introduction to Linux.2,1Y_Linear Algebra.2,1Y_Mathematical Analysis 1.2,1Y_Introduction to Statistics.2,1Y_English 2.2,You prefer to study:,What learning methods do help you understand better:,What types of resources do you use most:_y,Do you use a planer or a schedule in your revisions :_y,"For the next 8 questions you will have a list of problems (obstacles) classify them according to how much they influence your studies:
1. First :_y",2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the school's program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :_y,How do others' feedbacks influence you:,How many hours do you sleep,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:_y",2. Programming:_y,3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT_y,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1_y,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP_y,1Y_Linear Algebra_y,1Y_Proba Stat,1Y_Average S2_y,1Y_Average_y,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic_y,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1_y,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2_y,2Y_Average_y
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Bad quality of internet,Teaching language,Private life problems,3,No,5,5,You do not care about,5-7 hours,5,9,6,6,8,Very High,High,High,High,Moderate,High,13.0,Moderate,Moderate,Very High,Moderate,Moderate,Moderate,10.0,11.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2,No,4,5,Negatively,5-7 hours,5,6,3,2,5,High,High,High,High,Moderate,High,12.0,Low,High,High,Moderate,Low,Low,8.0,10.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3,Yes,4,5,You do not care about,5-7 hours,3,9,9,9,7,Very High,High,High,Very High,High,High,15.0,High,High,Very High,High,Moderate,Moderate,13.0,14.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,3,No,4,4,You do not care about,5-7 hours,3,7,6,6,8,High,High,High,High,Moderate,Moderate,12.0,Low,High,High,Moderate,Moderate,High,11.0,11.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,3,3,You do not care about,5-7 hours,2,9,6,7,7,High,High,High,High,Moderate,Moderate,13.0,Moderate,High,High,High,Moderate,High,11.0,12.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Lectures, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,4,Yes,4,5,Positively,5-7 hours,3,7,6,6,6,High,Very High,Very High,Very High,Very High,High,16.0,High,Very High,Very High,Moderate,Moderate,Moderate,13.0,14.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:01:26 PM GMT+1,Female,Second year,Science,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teacher’s rating ,2,Yes,1,1,You do not care about,8 hours or more,1,9,5,6,7,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Low,High,Very High,Moderate,Very Low,High,Very High,Very High,High,High,Moderate,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos, couses and slides sent by our teachers",Yes,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,4,3,Positively,5-7 hours,2,8,7,8,6,High,High,High,High,Moderate,High,13.0,Moderate,Moderate,High,High,Low,Moderate,10.0,11.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:02:47 PM GMT+1,Female,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,This is pretty much it ,2,Yes,2,3,You do not care about,5-7 hours,3,9,4,2,5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alone,Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2,No,4,4,Negatively,5-7 hours,2,7,6,6,5,Very High,High,High,Very High,High,High,15.0,Moderate,High,Very High,Moderate,Low,High,11.0,13.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:02:47 PM GMT+1,Female,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,This is pretty much it ,2,Yes,2,3,You do not care about,5-7 hours,3,9,4,2,5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Lack of time,Lack of time,3,No,3,5,Positively,8 hours or more,3,7,6,6,5,High,High,High,High,Moderate,Moderate,13.0,Moderate,High,High,High,Low,Low,10.0,11.0,,,,,,,,,,,,,,,,,,
2025/01/08 6:02:47 PM GMT+1,Female,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,Books;Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,This is pretty much it ,2,Yes,2,3,You do not care about,5-7 hours,3,9,4,2,5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends ",Yes,Private life problems,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2,Yes,5,4,Negatively,5-7 hours,1,7,5,3,4,Very High,High,High,High,Moderate,High,13.0,Moderate,Moderate,Very High,Moderate,Low,Moderate,10.0,11.0,,,,,,,,,,,,,,,,,,
