record_id,what_is_your_gender,in_which_year_of_your_studies_are_you_cu,what_was_your_bac_specialty,how_many_hours_per_week_do_you_spend_stu,where_do_you_prefer_to_study,you_prefer_to_study,what_learning_methods_do_help_you_unders,what_types_of_resources_do_you_use_most,do_you_use_a_planer_or_a_schedule_in_you,for_the_next_8_questions_you_will_have_a,2_second,3_third,4_fourth,5_fifth,6_sixth,7_seventh,8_eighth,other_problems_that_you_face,rate_your_satisfaction_with_the_school_s,do_you_engage_in_any_external_activities,your_level_of_motivation_for_joining_ens,how_much_do_you_like_the_field_of_artifi,how_do_other_s_feedback_influence_you,how_many_hours_do_you_sleep,how_well_do_you_handle_stress_and_pressu,in_a_scale_of_1_to_10_how_do_you_rate_yo,2_programming,3_computer_science,4_mathematics,4_forth,how_do_others_feedbacks_influence_you,1y_average
1,Male,Second year,Technical maths,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teaching language,Lack of motivation,3.0,Yes,4.0,5.0,You do not care about,8 hours or more,2.0,7.0,8.0,6.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,9.0
2,Female,Second year,Mathematics,18-25,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Teachers' teaching method,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Lack of motivation,1.0,Yes,2.0,2.0,You do not care about,5-7 hours,1.0,5.0,5.0,3.0,9.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
3,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Bad quality of internet,Lack of motivation,3.0,Yes,3.0,4.0,Negatively,5-7 hours,4.0,6.0,4.0,5.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
4,Male,Second year,Mathematics,10-17,In the school's library,With a group,Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Lack of motivation,3.0,Yes,5.0,5.0,Positively,8 hours or more,3.0,8.0,8.0,8.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
5,Male,Second year,Science,10-17,In the school's library,Alone,Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Pressure,Private life problems,Not having a good (powerful) computer,Teaching language,Bad quality of internet,Lack of motivation,3.0,Yes,5.0,4.0,Negatively,5-7 hours,3.0,7.0,6.0,6.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
6,Female,Third year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",3.0,No,4.0,5.0,Positively,8 hours or more,3.0,7.0,7.0,5.0,3.0,Bad quality of internet,You do not care about,10.0
7,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of motivation,2.0,No,4.0,5.0,You do not care about,5-7 hours,5.0,6.0,3.0,2.0,5.0,Lack of time,Negatively,10.0
8,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,Teaching language,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Lack of motivation,2.0,Yes,2.0,2.0,Negatively,5-7 hours,1.0,6.0,3.0,5.0,2.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
9,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Lectures,YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Lack of motivation,2.0,No,2.0,2.0,Negatively,8 hours or more,4.0,8.0,5.0,5.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,10.0
10,Female,Second year,Science,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,Lack of motivation,3.0,No,4.0,5.0,You do not care about,4 hours or less,3.0,8.0,7.0,8.0,8.0,Pressure,You do not care about,10.0
