learning_methods_lectures,learning_methods_learning_by_practicing_project-based_learning,average_s1,gender_encoded,resources_used_books_online_tutorials_youtube_videos,learning_methods_lectures_learning_by_practicing_project-based_learning,learning_methods_lectures_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_lectures,resources_used_online_tutorials_online_documents_youtube_videos,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_online_courses_and_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops,external_activities,resources_used_course_material,resources_used_youtube_videos_private_courses,uses_planner,learning_methods_learning_by_practicing_online_courses_and_tutorials,resources_used_books,resources_used_online_tutorials_youtube_videos,learning_methods_lectures_learning_by_practicing,other_avg,resources_used_online_tutorials_online_documents_youtube_videos_asking_friends,resources_used_online_tutorials,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,learning_methods_project-based_learning_online_courses_and_tutorials,learning_methods_interactive_workshops,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization,learning_methods_lectures_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,study_preference_encoded,learning_methods_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,resources_used_online_tutorials_online_documents,study_hours_per_week_encoded,sleep_hours_encoded,english_level,cs_level,other_n,ai_interest,resources_used_books_online_tutorials_online_documents_youtube_videos_private_courses,learning_methods_lectures_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_books_online_documents,resources_used_books_youtube_videos,learning_methods_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_project-based_learning,learning_methods_lectures_learning_by_practicing_project-based_learning_online_courses_and_tutorials,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_private_courses,resources_used_books_online_documents_youtube_videos,math_avg,programming_n,learning_methods_online_courses_and_tutorials,resources_used_books_online_tutorials_online_documents_youtube_videos,resources_used_chatgpt,resources_used_chatgpt,resources_used_chatgpt,resources_used_chatgpt_course_slides,learning_methods_learning_by_practicing_mind_mapping_and_visualization_interactive_workshops,math_level,all_modules_avg,learning_methods_learning_by_practicing_interactive_workshops,learning_methods_lectures_learning_by_practicing_project-based_learning_mind_mapping_and_visualization_interactive_workshops_online_courses_and_tutorials,resources_used_chat_gpt,resources_used_chat_gpt,resources_used_youtube_videos,stress_handling,learning_methods_mind_mapping_and_visualization_online_courses_and_tutorials,math_n,learning_methods_learning_by_practicing_mind_mapping_and_visualization,learning_methods_lectures_project-based_learning_interactive_workshops_online_courses_and_tutorials,resources_used_books_online_tutorials,learning_methods_mind_mapping_and_visualization,resources_used_slides,study_location_encoded,learning_methods_lectures_learning_by_practicing_online_courses_and_tutorials,programming_level,average_s2,year_ordinal,resources_used_online_documents_youtube_videos,programming_avg,inferred_year,learning_methods_learning_by_practicing_project-based_learning_mind_mapping_and_visualization,all_modules_n,resources_used_online_documents,bac_specialty_encoded,feedback_influence_encoded,learning_methods_learning_by_practicing_mind_mapping_and_visualization_online_courses_and_tutorials,resources_used_resources_provided_by_teachers_(slides),program_satisfaction,motivation_level,learning_methods_learning_by_practicing,average,resources_used_online_tutorials_online_documents_youtube_videos_couses_and_slides_sent_by_our_teachers
0,0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,3,2,7.0,6.0,5,5.0,0,0,0,0,0,1,0,0,0,0,2.75,3,1,0,0,0,0,0,0,4.0,2.75,0,0,0,0,1,2.0,0,4,0,0,0,0,0,0,0,8.0,8.0,2,0,2.6666666666666665,1.0,0,12,0,2,2,0,0,3.0,4.0,1,9.0,0
0,0,10.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,4,1,5.0,3.0,5,2.0,0,0,0,0,0,0,0,0,0,0,4.5,2,1,0,0,0,0,0,0,9.0,3.636363636363636,0,0,0,0,1,1.0,0,4,0,0,0,0,0,2,0,5.0,10.0,2,0,4.0,1.0,0,11,0,0,2,0,0,1.0,2.0,0,10.0,0
0,0,10.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0,0,1,0,0,1,0,0,0,0,0,0,3,1,6.0,5.0,0,4.0,0,0,0,0,0,0,0,0,0,0,3.5,0,1,0,0,0,0,0,0,7.0,3.6666666666666665,0,0,0,0,1,4.0,0,0,0,0,0,1,0,3,0,4.0,11.0,2,0,3.6666666666666665,1.0,0,0,1,2,0,0,0,3.0,3.0,1,10.0,0
0,0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6,0,1,0,0,0,0,0,0,2,0,0,3,2,8.0,8.0,5,5.0,0,0,0,0,0,0,0,0,0,0,3.0,2,1,0,0,0,0,0,0,7.0,3.4545454545454546,0,0,0,0,1,3.0,0,4,0,0,0,0,0,2,0,8.0,9.0,2,0,4.0,2.0,0,11,0,0,1,0,0,3.0,5.0,0,10.0,0
0,0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6,0,1,0,0,0,0,0,0,0,0,0,3,1,7.0,6.0,5,4.0,0,0,0,0,0,0,0,0,0,0,2.5,3,1,0,0,0,0,0,0,2.0,3.1666666666666665,0,0,0,0,1,3.0,0,4,0,0,0,0,0,2,0,6.0,9.0,2,0,3.333333333333333,1.0,0,12,0,1,0,0,0,3.0,5.0,0,10.0,0
0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,0,1,0,0,0,0,0,0,0,0,0,3,2,7.0,5.0,2,5.0,0,0,0,0,0,1,0,0,0,0,2.5,2,1,0,0,0,0,0,0,3.0,3.0,0,0,0,0,1,3.0,0,4,0,0,0,0,0,2,0,7.0,10.0,3,0,3.5,2.0,0,8,1,0,1,0,0,3.0,4.0,1,10.0,0
0,0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,4,1,6.0,2.0,5,5.0,0,0,0,0,0,0,0,0,0,0,3.0,2,0,0,0,0,0,0,0,5.0,3.333333333333333,0,0,0,0,0,5.0,0,5,0,0,0,0,0,3,0,3.0,8.0,2,0,2.5,1.0,0,12,0,1,2,0,0,2.0,4.0,0,10.0,0
0,0,12.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,3,1,6.0,5.0,5,2.0,0,0,0,0,0,0,0,0,0,0,2.25,3,1,0,0,0,0,0,0,2.0,3.0,0,0,0,0,1,1.0,0,4,0,0,0,0,0,3,0,3.0,9.0,2,0,2.6666666666666665,1.0,0,12,0,2,0,0,0,2.0,2.0,0,10.0,0
1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,3,2,8.0,5.0,5,2.0,0,0,0,0,0,0,0,0,0,0,3.0,3,0,0,0,0,0,0,0,6.0,3.333333333333333,0,0,0,0,1,4.0,0,4,0,0,0,0,0,3,0,5.0,9.0,2,0,3.333333333333333,1.0,0,12,0,2,0,0,0,2.0,2.0,0,10.0,0
0,0,13.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,6,0,8.0,8.0,5,5.0,0,0,0,0,0,0,0,0,0,0,3.2,2,0,0,0,0,0,0,0,8.0,3.25,0,0,0,0,0,3.0,0,5,0,0,0,0,0,2,0,7.0,8.0,2,0,2.0,1.0,0,12,0,1,2,0,0,3.0,4.0,0,10.0,0
