record_id,gender,current_year,bac_specialty,study_hours_per_week,study_location,study_preference,learning_methods,resources_used,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_handling,english_level,programming_level,cs_level,math_level,fourth_field_level,year_ordinal,inferred_year,average_s1,average_s2,average,math_avg,math_n,programming_avg,programming_n,other_avg,other_n,all_modules_avg,all_modules_n,dataset_source,gender_encoded,bac_specialty_encoded,study_location_encoded,study_preference_encoded,feedback_influence_encoded,study_hours_per_week_encoded,sleep_hours_encoded,learning_methods_interactive_workshops,learning_methods_learning_by_practicing,learning_methods_lectures,learning_methods_mind_mapping_and_visualization,learning_methods_online_courses_and_tutorials,learning_methods_project-based_learning,resources_used_books,resources_used_online_documents,resources_used_online_tutorials,resources_used_private_courses,resources_used_youtube_videos
45,Female,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,1,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Private life problems,Teaching language,Bad quality of internet,"social media addiction , health problems, not being able to work on a team in group projects",2.0,1,2.0,3.0,You do not care about,5-7 hours,1.0,7.0,2.0,5.0,2.0,Unknown,4,3.0,10.0,13.0,12.0,2.75,4,2.7142857142857144,7,5.0,1,2.9166666666666665,12,3Y,0,1,2,0,1,3,1,0,1,1,1,1,0,1,1,1,0,1
78,Male,Fourth year,Technical maths,10-17,In your room (dorms),Alone,Mind mapping and visualization,Books;YouTube videos,1,Private life problems,Lack of time,Pressure,Teachers' teaching method,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",1.0,0,2.0,3.0,You do not care about,8 hours or more,2.0,7.0,5.0,5.0,5.0,Unknown,4,3.0,9.0,11.0,10.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,1,1,2,0,1,3,2,0,0,0,1,0,0,1,0,0,0,1
80,Male,Fourth year,Technical maths,10-17,At home,In peer,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online documents,0,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,Lack of time,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,0,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,7.0,7.0,6.0,Unknown,4,3.0,13.0,13.0,13.0,3.5,4,3.4285714285714284,7,4.0,1,3.5,12,3Y,1,1,0,1,1,3,1,0,1,1,0,1,1,1,1,0,0,0
84,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Online tutorials;YouTube videos,1,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,1,4.0,4.0,You do not care about,5-7 hours,4.0,9.0,7.0,9.0,8.0,Unknown,4,3.0,11.0,10.0,10.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,0,0,2,0,1,3,1,0,1,0,1,0,1,0,0,1,0,1
86,Female,Fourth year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,1,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Pressure,Pressure,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,0,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,7.0,7.0,6.0,Unknown,4,3.0,10.0,11.0,10.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,0,0,2,1,1,3,1,0,1,0,1,0,0,0,1,0,0,1
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,0,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Pressure,Pressure,Teaching language,Lack of time,Private life problems,"Guergour, thabet, dib, w abdou jirani, nahkiw mashi n9raw ( w mouchaal lol)",2.0,1,2.0,2.0,You do not care about,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,3,3.0,10.0,12.5,10.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,0,0,0,0,1,3,2,0,1,1,0,0,0,0,0,1,0,1
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,1,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",4.0,1,2.0,5.0,Positively,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,4,3.0,12.0,12.0,12.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,0,0,2,0,0,4,1,1,1,1,0,1,1,1,1,0,0,1
137,Female,Fourth year,Technical maths,,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,1,Teachers' teaching method,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",2.0,0,3.0,4.0,You do not care about,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,4,3.0,13.0,13.0,13.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,0,1,2,0,1,3,1,0,1,1,0,1,0,1,1,0,0,0
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,0,Private life problems,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,"The not organized study schedule put by the school , some modules requires TD and they do not have ...",3.0,1,3.0,4.0,You do not care about,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,4,3.0,11.5,12.0,13.0,3.125,0,3.071428571428571,0,4.0,0,3.208333333333333,0,3Y,1,0,2,0,1,4,1,0,1,0,0,0,1,1,0,0,0,0
175,Female,Fourth year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,1,Private life problems,Bad quality of internet,ما,Lack of time,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,you mentioned all,3.0,1,4.0,5.0,Positively,8 hours or more,3.0,9.0,8.0,8.0,8.0,Unknown,4,3.0,12.0,14.0,13.0,3.5,4,3.857142857142857,7,4.0,1,3.75,12,3Y,0,0,2,0,0,3,2,0,1,1,0,1,1,1,1,1,0,1
