learning_methods_interactive_workshops,learning_methods_mind_mapping_and_visualization,study_location_encoded,programming_level,learning_methods_lectures,average_s2,year_ordinal,resources_used_private_courses,average_s1,gender_encoded,math_avg,programming_n,programming_avg,study_preference_encoded,learning_methods_online_courses_and_tutorials,inferred_year,all_modules_n,resources_used_online_documents,bac_specialty_encoded,study_hours_per_week_encoded,external_activities,math_level,uses_planner,all_modules_avg,resources_used_books,feedback_influence_encoded,sleep_hours_encoded,english_level,cs_level,other_n,other_avg,ai_interest,program_satisfaction,motivation_level,learning_methods_learning_by_practicing,resources_used_youtube_videos,average,resources_used_online_tutorials,learning_methods_project-based_learning,stress_handling,math_n
0,1,2,2.0,1,13.0,4,0,10.0,0,2.75,7,2.7142857142857144,0,1,3.0,12,1,1,3,1,2.0,1,2.9166666666666665,1,1,1,7.0,5.0,1,5.0,3.0,2.0,2.0,1,1,12.0,1,0,1.0,4
0,1,2,5.0,0,11.0,4,0,9.0,1,3.125,0,3.071428571428571,0,0,3.0,0,0,1,3,0,5.0,1,3.208333333333333,1,1,2,7.0,5.0,0,4.0,3.0,1.0,2.0,0,1,10.0,0,0,2.0,0
0,0,0,7.0,1,13.0,4,0,13.0,1,3.5,7,3.4285714285714284,1,1,3.0,12,1,1,3,0,6.0,0,3.5,1,1,1,7.0,7.0,1,4.0,4.0,2.0,3.0,1,0,13.0,0,1,3.0,4
0,1,2,7.0,0,10.0,4,0,11.0,0,3.125,0,3.071428571428571,0,0,3.0,0,0,0,3,1,8.0,1,3.208333333333333,0,1,1,9.0,9.0,0,4.0,4.0,2.0,4.0,1,1,10.0,1,1,4.0,0
0,1,2,7.0,0,11.0,4,0,10.0,0,3.125,0,3.071428571428571,1,0,3.0,0,1,0,3,0,6.0,1,3.208333333333333,0,1,1,9.0,7.0,0,4.0,4.0,2.0,3.0,1,1,10.0,0,0,2.0,0
0,0,0,7.0,1,12.5,3,0,10.0,0,3.125,0,3.071428571428571,0,0,3.0,0,0,0,3,1,9.0,0,3.208333333333333,0,1,2,7.0,7.0,0,4.0,2.0,2.0,2.0,1,1,10.0,1,0,4.0,0
1,0,2,9.0,1,12.0,4,0,12.0,0,3.125,0,3.071428571428571,0,1,3.0,0,1,0,4,1,9.0,1,3.208333333333333,1,0,1,8.0,9.0,0,4.0,5.0,4.0,2.0,1,1,12.0,0,1,3.0,0
0,0,2,6.0,1,13.0,4,0,13.0,0,3.125,0,3.071428571428571,0,1,3.0,0,1,1,3,0,9.0,1,3.208333333333333,1,1,1,7.0,7.0,0,4.0,4.0,2.0,3.0,1,0,13.0,0,0,3.0,0
0,0,2,8.0,0,12.0,4,0,11.5,1,3.125,0,3.071428571428571,0,0,3.0,0,0,0,4,1,7.0,0,3.208333333333333,1,1,1,9.0,7.0,0,4.0,4.0,3.0,3.0,1,0,13.0,0,1,2.0,0
0,0,2,8.0,1,14.0,4,0,12.0,0,3.5,7,3.857142857142857,0,1,3.0,12,1,0,3,1,8.0,1,3.75,1,0,2,9.0,8.0,1,4.0,5.0,3.0,4.0,1,1,13.0,1,1,3.0,4
0,0,1,9.0,1,14.0,4,1,13.0,1,3.125,0,3.071428571428571,0,0,3.0,0,1,1,4,1,6.0,0,3.208333333333333,1,0,2,9.0,7.0,0,4.0,5.0,4.0,5.0,1,0,14.0,0,1,4.0,0
0,0,2,7.0,0,12.5,4,0,11.5,0,2.5,7,2.7142857142857144,0,1,3.0,12,1,0,3,0,6.0,0,2.75,1,1,1,7.0,7.0,1,4.0,3.0,2.0,2.0,1,0,12.0,1,1,3.0,4
