record_id,timestamp,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
1,2025/01/08 7:02:20 PM GMT+1,Male,Second year,Technical maths,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Teaching language,,3,Yes,4,5,You do not care about,8 hours or more,2,7,8,6,4,11.0,8.0,9.0,,,,,,,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025/01/08 8:57:31 PM GMT+1,Female,Second year,Mathematics,18-25,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Teachers' teaching method,Pressure,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,1,Yes,2,2,You do not care about,5-7 hours,1,5,5,3,9,10.0,10.0,10.0,,,,,,,High,High,Low,Low,Moderate,High,High,,Very High,Very High,High,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025/01/08 6:11:04 PM GMT+1,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,Bad quality of internet,,3,Yes,3,4,Negatively,5-7 hours,4,6,4,5,7,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025/01/11 3:08:32 PM GMT+1,Male,Second year,Mathematics,10-17,In the school's library,With a group,Online courses and tutorials,Online tutorials;YouTube videos,No,Teachers' teaching method,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Private life problems,Not having a good (powerful) computer,,3,Yes,5,5,Positively,8 hours or more,3,8,8,8,7,11.0,9.0,10.0,10.0,,,,,,Moderate,High,Moderate,High,High,Moderate,High,,Low,Moderate,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025/01/11 12:52:55 AM GMT+1,Male,Second year,Science,10-17,In the school's library,Alone,Online courses and tutorials,Online tutorials;YouTube videos,No,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Pressure,Private life problems,Not having a good (powerful) computer,Teaching language,Bad quality of internet,,3,Yes,5,4,Negatively,5-7 hours,3,7,6,6,2,11.0,9.0,10.0,,,,,,,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Low,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025/01/08 7:06:03 PM GMT+1,Female,Thirs year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,,3,No,4,5,Positively,8 hours or more,3,7,7,5,3,11.0,10.0,10.0,11.0,9.0,10.0,,,,Moderate,Moderate,,,High,Moderate,High,,Low,Moderate,Low,,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,,2,No,4,5,,5-7 hours,5,6,3,2,5,12.0,8.0,10.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Negatively,High,High,High,Moderate,High,Low,High,High,Low,,,,,,,,,,,,,
8,2025/01/08 6:10:01 PM GMT+1,Male,Second year,Technical maths,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,Teaching language,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,,2,Yes,2,2,Negatively,5-7 hours,1,6,3,5,2,12.0,9.0,10.0,,,,,,,Moderate,Moderate,High,High,High,High,Low,Moderate,Low,Very Low,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025/01/08 6:18:30 PM GMT+1,Female,Second year,Technical maths,10-17,In your room (dorms),Alone,Lectures,YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Teaching language,Private life problems,,2,No,2,2,Negatively,8 hours or more,4,8,5,5,6,12.0,9.0,10.0,,,,,,,Very High,Moderate,Moderate,Moderate,High,High,Moderate,High,Low,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Female,Second year,Science,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,,3,No,4,5,,4 hours or less,3,8,7,8,8,13.0,8.0,10.0,,,,,,,,,,,,High,Low,,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,High,High,High,Moderate,Moderate,Low,Moderate,High,Moderate,,,,,,,,,,,,,
11,,Female,Second year,Mathematics,More than 41 hours,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,,2,No,5,4,,5-7 hours,2,7,4,4,6,13.0,9.0,10.0,,,,,,,,,,,,High,Moderate,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,Very High,High,High,Moderate,Moderate,Moderate,Moderate,High,Very Low,,,,,,,,,,,,,
